No devices were found
Creating multiple envs -  4
Environment created
Box(-2.0, 2.0, (1,), float32) Box([-1. -1. -8.], [1. 1. 8.], (3,), float32)
Starting Initial training
Reward at iter 675840: -157.4259707823289
Reward at iter 679936: -139.27307265113672
Reward at iter 684032: -212.26341770877707
Reward at iter 688128: -160.53383933026453
Reward at iter 692224: -202.6041985907413
Reward at iter 696320: -128.48399719385975
Reward at iter 700416: -183.15078082500114
Reward at iter 704512: -129.7848937143843
Reward at iter 708608: -188.0852655736202
Reward at iter 712704: -173.59617267263513
Reward at iter 716800: -187.7722295940174
Reward at iter 720896: -153.70055394284736
Reward at iter 724992: -201.58995707491363
Reward at iter 729088: -166.4620866905779
Reward at iter 733184: -197.56264503910506
Reward at iter 737280: -129.22529734677386
Reward at iter 741376: -101.20412786348668
Reward at iter 745472: -149.22872326804995
Reward at iter 749568: -103.74460048947103
Reward at iter 753664: -195.7436636762988
Reward at iter 757760: -152.56615026570114
Reward at iter 761856: -199.84328324613352
Reward at iter 765952: -150.29585592177347
Reward at iter 770048: -259.1247020146335
Reward at iter 774144: -83.27686657025679
Reward at iter 778240: -224.37697056457554
Reward at iter 782336: -103.92081367066392
Reward at iter 786432: -202.85122948776555
Reward at iter 790528: -78.78063849518838
Reward at iter 794624: -249.22180531972995
Reward at iter 798720: -131.88902558909734
Reward at iter 802816: -183.85067865326127
Reward at iter 806912: -155.17984154921746
Reward at iter 811008: -179.32577561620965
Reward at iter 815104: -104.89337632964013
Reward at iter 819200: -326.64565135262075
Reward at iter 823296: -218.83325280318886
Reward at iter 827392: -162.68855860426385
Reward at iter 831488: -127.44068202050148
Reward at iter 835584: -106.82662715783358
Reward at iter 839680: -102.42592180979204
Reward at iter 843776: -162.69106363713937
Reward at iter 847872: -183.10104790847006
Reward at iter 851968: -152.86751085333293
Reward at iter 856064: -154.60660771386355
Reward at iter 860160: -185.5866559032831
Reward at iter 864256: -201.2600252441228
Reward at iter 868352: -177.7596953522646
Reward at iter 872448: -168.12862736307423
Reward at iter 876544: -204.39314914470614
Reward at iter 880640: -165.27808088032987
Reward at iter 884736: -155.6873006099311
Reward at iter 888832: -132.68157053576866
Reward at iter 892928: -247.2729889414783
Reward at iter 897024: -78.20354310699653
Reward at iter 901120: -131.62158083110162
Reward at iter 905216: -156.06312243258307
Reward at iter 909312: -177.44891056574548
Reward at iter 913408: -157.41936216438376
Reward at iter 917504: -134.55743195372224
Reward at iter 921600: -180.84627277914083
Reward at iter 925696: -194.067310360364
Reward at iter 929792: -250.60547597889445
Reward at iter 933888: -170.67364982267299
Reward at iter 937984: -203.82393694248813
Reward at iter 942080: -130.68032015493313
Reward at iter 946176: -129.52906380147869
Reward at iter 950272: -166.2889214315347
Reward at iter 954368: -162.36466734120182
Reward at iter 958464: -208.5424759429402
Reward at iter 962560: -231.57126304559864
Reward at iter 966656: -154.79537994571314
Reward at iter 970752: -219.62838689937158
Reward at iter 974848: -214.95162426402902
Reward at iter 978944: -207.35352270702955
Reward at iter 983040: -155.3047781499861
Reward at iter 987136: -199.28614099096473
Reward at iter 991232: -129.48714996445023
Reward at iter 995328: -137.76129714612674
Reward at iter 999424: -213.68112559943614
Reward at iter 1003520: -109.49609584535408
Initial training done
