No devices were found
Reward at iter 53760: -200.0
Reward at iter 54016: -200.0
Reward at iter 54272: -200.0
Reward at iter 54528: -200.0
Reward at iter 54784: -200.0
Reward at iter 55040: -200.0
Reward at iter 55296: -200.0
Reward at iter 55552: -200.0
Reward at iter 55808: -200.0
Reward at iter 56064: -200.0
Reward at iter 56320: -200.0
Reward at iter 56576: -200.0
Reward at iter 56832: -200.0
Reward at iter 57088: -200.0
Reward at iter 57344: -200.0
Reward at iter 57600: -200.0
Reward at iter 57856: -200.0
Reward at iter 58112: -200.0
Reward at iter 58368: -200.0
Reward at iter 58624: -200.0
Reward at iter 58880: -200.0
Reward at iter 59136: -200.0
Reward at iter 59392: -200.0
Reward at iter 59648: -200.0
Reward at iter 59904: -200.0
Reward at iter 60160: -200.0
Reward at iter 60416: -200.0
Reward at iter 60672: -200.0
Reward at iter 60928: -200.0
Reward at iter 61184: -200.0
Reward at iter 61440: -200.0
Reward at iter 61696: -200.0
Reward at iter 61952: -200.0
Reward at iter 62208: -200.0
Reward at iter 62464: -200.0
Reward at iter 62720: -200.0
Reward at iter 62976: -200.0
Reward at iter 63232: -200.0
Reward at iter 63488: -200.0
Reward at iter 63744: -200.0
Reward at iter 64000: -200.0
Reward at iter 64256: -200.0
Reward at iter 64512: -200.0
Reward at iter 64768: -200.0
Reward at iter 65024: -200.0
Reward at iter 65280: -200.0
Reward at iter 65536: -200.0
Reward at iter 65792: -200.0
Reward at iter 66048: -200.0
Reward at iter 66304: -200.0
Reward at iter 66560: -200.0
Reward at iter 66816: -200.0
Reward at iter 67072: -200.0
Reward at iter 67328: -200.0
Reward at iter 67584: -200.0
Reward at iter 67840: -200.0
Reward at iter 68096: -200.0
Reward at iter 68352: -200.0
Reward at iter 68608: -200.0
Reward at iter 68864: -200.0
Reward at iter 69120: -200.0
Reward at iter 69376: -200.0
Reward at iter 69632: -200.0
Reward at iter 69888: -200.0
Reward at iter 70144: -200.0
Reward at iter 70400: -200.0
Reward at iter 70656: -200.0
Reward at iter 70912: -200.0
Reward at iter 71168: -200.0
Reward at iter 71424: -200.0
Reward at iter 71680: -200.0
Reward at iter 71936: -200.0
Reward at iter 72192: -200.0
Reward at iter 72448: -200.0
Reward at iter 72704: -200.0
Reward at iter 72960: -200.0
Reward at iter 73216: -200.0
Reward at iter 73472: -200.0
Reward at iter 73728: -200.0
Reward at iter 73984: -200.0
Reward at iter 74240: -200.0
Reward at iter 74496: -200.0
Reward at iter 74752: -200.0
Reward at iter 75008: -200.0
Reward at iter 75264: -200.0
Reward at iter 75520: -200.0
Reward at iter 75776: -200.0
Reward at iter 76032: -200.0
Reward at iter 76288: -200.0
Reward at iter 76544: -200.0
Reward at iter 76800: -200.0
Reward at iter 77056: -200.0
Reward at iter 77312: -200.0
Reward at iter 77568: -200.0
Reward at iter 77824: -200.0
Reward at iter 78080: -200.0
Reward at iter 78336: -200.0
Reward at iter 78592: -200.0
Reward at iter 78848: -200.0
Reward at iter 79104: -200.0
Reward at iter 79360: -200.0
Reward at iter 79616: -200.0
Reward at iter 79872: -200.0
Reward at iter 80128: -200.0
Reward at iter 80384: -200.0
Reward at iter 80640: -200.0
Reward at iter 80896: -200.0
Reward at iter 81152: -200.0
Reward at iter 81408: -200.0
Reward at iter 81664: -200.0
Reward at iter 81920: -200.0
Reward at iter 82176: -200.0
Reward at iter 82432: -200.0
Reward at iter 82688: -200.0
Reward at iter 82944: -200.0
Reward at iter 83200: -200.0
Reward at iter 83456: -200.0
Reward at iter 83712: -200.0
Reward at iter 83968: -200.0
Reward at iter 84224: -200.0
Reward at iter 84480: -200.0
Reward at iter 84736: -200.0
Reward at iter 84992: -200.0
Reward at iter 85248: -200.0
Reward at iter 85504: -200.0
Reward at iter 85760: -200.0
Reward at iter 86016: -200.0
Reward at iter 86272: -200.0
Reward at iter 86528: -200.0
Reward at iter 86784: -200.0
Reward at iter 87040: -200.0
Reward at iter 87296: -200.0
Reward at iter 87552: -200.0
Reward at iter 87808: -200.0
Reward at iter 88064: -200.0
Reward at iter 88320: -200.0
Reward at iter 88576: -200.0
Reward at iter 88832: -200.0
Reward at iter 89088: -200.0
Reward at iter 89344: -200.0
Reward at iter 89600: -200.0
Reward at iter 89856: -200.0
Reward at iter 90112: -200.0
Reward at iter 90368: -200.0
Reward at iter 90624: -200.0
Reward at iter 90880: -200.0
Reward at iter 91136: -200.0
Reward at iter 91392: -200.0
Reward at iter 91648: -200.0
Reward at iter 91904: -200.0
Reward at iter 92160: -200.0
Reward at iter 92416: -200.0
Reward at iter 92672: -200.0
Reward at iter 92928: -200.0
Reward at iter 93184: -200.0
Reward at iter 93440: -200.0
Reward at iter 93696: -200.0
Reward at iter 93952: -200.0
Reward at iter 94208: -200.0
Reward at iter 94464: -200.0
Reward at iter 94720: -200.0
Reward at iter 94976: -200.0
Reward at iter 95232: -200.0
Reward at iter 95488: -200.0
Reward at iter 95744: -200.0
Reward at iter 96000: -200.0
Reward at iter 96256: -200.0
Reward at iter 96512: -200.0
Reward at iter 96768: -200.0
Reward at iter 97024: -200.0
Reward at iter 97280: -200.0
Reward at iter 97536: -200.0
Reward at iter 97792: -200.0
Reward at iter 98048: -200.0
Reward at iter 98304: -200.0
Reward at iter 98560: -200.0
Reward at iter 98816: -200.0
