No devices were found
Creating multiple envs -  4
---------------------------------
Environment created
Box(-1.0, 1.0, (2,), float32) Box(-inf, inf, (8,), float64)
Starting Initial training
Reward at iter 675840: 153.2411864810601
Reward at iter 679936: 148.6522597560584
Reward at iter 684032: 145.62565940734203
Reward at iter 688128: 143.81034332069376
Reward at iter 692224: 141.68156018268098
Reward at iter 696320: 148.37446997887554
Reward at iter 700416: 149.6340928342435
Reward at iter 704512: 150.48964376240275
Reward at iter 708608: 155.3473031169511
Reward at iter 712704: 151.2088323687298
Reward at iter 716800: 143.85588400641095
Reward at iter 720896: 146.7027785756468
Reward at iter 724992: 148.49975997835313
Reward at iter 729088: 152.17895791417249
Reward at iter 733184: 143.00631789637129
Reward at iter 737280: 142.01502052313214
Reward at iter 741376: 153.54041199917444
Reward at iter 745472: 148.3025017993627
Reward at iter 749568: 146.06326215004538
Reward at iter 753664: 142.4303104622568
Reward at iter 757760: 148.5783336466951
Reward at iter 761856: 145.5448979745629
Reward at iter 765952: 156.55994124448324
Reward at iter 770048: 158.1867525470631
Reward at iter 774144: 158.2979578837717
Reward at iter 778240: 155.49014082853085
Reward at iter 782336: 150.50033260337509
Reward at iter 786432: 146.4489156745267
Reward at iter 790528: 144.09832268963345
Reward at iter 794624: 149.74133882581268
Reward at iter 798720: 148.66587721777802
Reward at iter 802816: 154.87630157010273
Reward at iter 806912: 153.1798936373939
Reward at iter 811008: 144.79412245270407
Reward at iter 815104: 139.71632500835244
Reward at iter 819200: 144.89149872213883
Reward at iter 823296: 145.2466690999094
Reward at iter 827392: 155.6785079942377
Reward at iter 831488: 140.72944097244053
Reward at iter 835584: 142.69964591442186
Reward at iter 839680: 154.52813876311106
Reward at iter 843776: 151.56958369373046
Reward at iter 847872: 152.3718798152011
Reward at iter 851968: 138.4851632547423
Reward at iter 856064: 146.10496801946144
Reward at iter 860160: 150.67807963824558
Reward at iter 864256: 150.44975634576355
Reward at iter 868352: 146.46792026946514
Reward at iter 872448: 143.9237783335262
Reward at iter 876544: 152.58404664307378
Reward at iter 880640: 142.24597507771074
Reward at iter 884736: 147.48670223393316
Reward at iter 888832: 141.15267554209706
Reward at iter 892928: 144.65462735941142
Reward at iter 897024: 138.8372238926363
Reward at iter 901120: 138.2091545924099
Reward at iter 905216: 143.20184125624752
Reward at iter 909312: 139.34740447328983
Reward at iter 913408: 141.1824963302578
Reward at iter 917504: 141.95431862122933
Reward at iter 921600: 151.3379491411303
Reward at iter 925696: 142.62469765028837
Reward at iter 929792: 148.79132170393024
Reward at iter 933888: 136.6131427850346
Reward at iter 937984: 145.0311450433225
Reward at iter 942080: 142.87213900769285
Reward at iter 946176: 131.82626083852912
Reward at iter 950272: 148.67663169467795
Reward at iter 954368: 139.6349978640056
Reward at iter 958464: 154.40920649584422
Reward at iter 962560: 146.9313754433296
Reward at iter 966656: 152.3518239370686
Reward at iter 970752: 148.6871311039269
Reward at iter 974848: 154.8467557457299
Reward at iter 978944: 152.0584848461924
Reward at iter 983040: 155.14861085820297
Reward at iter 987136: 148.66556540074413
Reward at iter 991232: 146.36320663496485
Reward at iter 995328: 160.68143714827107
Reward at iter 999424: 149.60400779379407
Reward at iter 1003520: 142.9153111405755
Initial training done
Saving replay buffer for later use
Replay buffer saved
