Thu Mar 19 00:43:39 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 595.45.04              Driver Version: 595.45.04      CUDA Version: 13.2     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Setting seed -  9
---------------------------------
Environment created
Box(-0.4, 0.4, (17,), float32) Box(-inf, inf, (348,), float64)
Starting Initial training
avg 3 return on policy: 357.3424706061681
avg 3 return on policy: 324.4118381738663
avg 3 return on policy: 333.1655225753784
avg 3 return on policy: 327.9331577221553
avg 3 return on policy: 327.70762622356415
avg 3 return on policy: 321.9414565563202
avg 3 return on policy: 311.69611525535583
avg 3 return on policy: 309.41986612478894
avg 3 return on policy: 310.5431691010793
avg 3 return on policy: 298.9757333993912
avg 3 return on policy: 313.52028445402783
avg 3 return on policy: 327.2232614358266
avg 3 return on policy: 352.51521901289624
avg 3 return on policy: 344.31083671251935
avg 3 return on policy: 315.02830322583515
avg 3 return on policy: 318.94159086545307
avg 3 return on policy: 321.0441254377365
avg 3 return on policy: 329.3744861682256
avg 3 return on policy: 322.97199825445813
avg 3 return on policy: 338.37046500047046
avg 3 return on policy: 332.8057499329249
avg 3 return on policy: 329.3800559441249
avg 3 return on policy: 299.37653344869614
avg 3 return on policy: 307.0061157941818
avg 3 return on policy: 341.7705332438151
avg 3 return on policy: 327.6976395845413
avg 3 return on policy: 308.11480311552685
avg 3 return on policy: 310.8746560116609
avg 3 return on policy: 304.1651606162389
avg 3 return on policy: 296.5879939695199
avg 3 return on policy: 337.44647951920825
avg 3 return on policy: 295.14689701298875
avg 3 return on policy: 309.10936095317203
avg 3 return on policy: 306.72942392031354
avg 3 return on policy: 305.5147869984309
avg 3 return on policy: 331.01733620961505
avg 3 return on policy: 319.5521503686905
avg 3 return on policy: 322.876827398936
avg 3 return on policy: 325.3271675507228
avg 3 return on policy: 328.88811949888867
