Thu Mar 19 01:58:06 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 595.45.04              Driver Version: 595.45.04      CUDA Version: 13.2     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Setting seed -  9
---------------------------------
Environment created
Box(-1.0, 1.0, (3,), float32) Box(-inf, inf, (11,), float64)
Starting Initial training
avg 3 return on policy: 332.7445480823517
avg 3 return on policy: 333.5833406448364
avg 3 return on policy: 313.0467488368352
avg 3 return on policy: 312.4849092165629
avg 3 return on policy: 313.9704735676448
avg 3 return on policy: 319.7428529659907
avg 3 return on policy: 324.5502092440923
avg 3 return on policy: 331.92453523476917
avg 3 return on policy: 333.02275868256885
avg 3 return on policy: 333.8250772158305
avg 3 return on policy: 329.9799549976985
avg 3 return on policy: 319.96344824632007
avg 3 return on policy: 327.0873676935832
avg 3 return on policy: 338.2007333834966
avg 3 return on policy: 348.93597575028735
avg 3 return on policy: 347.56237109502155
avg 3 return on policy: 344.4669729073842
avg 3 return on policy: 344.3327439228694
avg 3 return on policy: 361.0995027621587
avg 3 return on policy: 348.63205194473267
avg 3 return on policy: 348.21881155172986
avg 3 return on policy: 347.4167867898941
avg 3 return on policy: 340.8489900827408
avg 3 return on policy: 339.9115243752797
avg 3 return on policy: 333.5066405534744
avg 3 return on policy: 334.81194659074146
avg 3 return on policy: 334.40491676330566
avg 3 return on policy: 325.8140042622884
avg 3 return on policy: 321.8490349451701
avg 3 return on policy: 328.9156405528386
avg 3 return on policy: 330.3286149104436
avg 3 return on policy: 327.2496171792348
avg 3 return on policy: 264.27544538180035
avg 3 return on policy: 332.83399697144824
avg 3 return on policy: 332.477486371994
avg 3 return on policy: 332.70917546749115
avg 3 return on policy: 329.8733238379161
avg 3 return on policy: 331.8132578531901
avg 3 return on policy: 276.32507093747455
avg 3 return on policy: 333.50583279132843
avg 3 return on policy: 335.61032819747925
avg 3 return on policy: 329.44375415643054
avg 3 return on policy: 291.28448216120404
avg 3 return on policy: 269.4777870575587
avg 3 return on policy: 274.9873807827632
avg 3 return on policy: 288.20447226365405
avg 3 return on policy: 288.9815006653468
avg 3 return on policy: 288.3229252894719
avg 3 return on policy: 311.33033323287964
avg 3 return on policy: 319.0155705213547
avg 3 return on policy: 313.28432965278625
avg 3 return on policy: 317.58603914578754
avg 3 return on policy: 318.25324348608655
avg 3 return on policy: 315.9074065685272
avg 3 return on policy: 340.1053467988968
avg 3 return on policy: 336.156831463178
avg 3 return on policy: 349.71393350760144
avg 3 return on policy: 349.847144762675
avg 3 return on policy: 342.72244369983673
avg 3 return on policy: 347.2494918505351
avg 3 return on policy: 344.0131842692693
avg 3 return on policy: 332.6240205367406
avg 3 return on policy: 332.79306268692017
avg 3 return on policy: 336.813104391098
avg 3 return on policy: 330.4409840106964
avg 3 return on policy: 330.52273126443225
avg 3 return on policy: 334.9228905439377
avg 3 return on policy: 307.55784984429675
avg 3 return on policy: 292.4990238746007
avg 3 return on policy: 291.15826439857483
avg 3 return on policy: 302.3453217744827
avg 3 return on policy: 318.05399954319
avg 3 return on policy: 293.9026525417964
avg 3 return on policy: 279.3244817654292
avg 3 return on policy: 293.47188794612885
avg 3 return on policy: 292.0809262196223
avg 3 return on policy: 322.5924902359645
avg 3 return on policy: 323.190869251887
avg 3 return on policy: 326.9985813697179
avg 3 return on policy: 330.65227178732556
avg 3 return on policy: 335.5510476430257
avg 3 return on policy: 343.5913045803706
avg 3 return on policy: 336.7314025958379
avg 3 return on policy: 323.68505851427716
avg 3 return on policy: 343.1127327283223
avg 3 return on policy: 337.4031271139781
avg 3 return on policy: 215.966494679451
avg 3 return on policy: 233.74570520718893
avg 3 return on policy: 238.16500055789948
avg 3 return on policy: 263.3622241417567
avg 3 return on policy: 311.21630295117694
avg 3 return on policy: 325.32476313908893
avg 3 return on policy: 330.6922792991002
avg 3 return on policy: 322.616304119428
avg 3 return on policy: 314.68761932849884
avg 3 return on policy: 316.89191428820294
avg 3 return on policy: 325.36261602242786
avg 3 return on policy: 329.2563264767329
avg 3 return on policy: 325.2324181397756
avg 3 return on policy: 328.8865426381429
avg 3 return on policy: 332.37143993377686
avg 3 return on policy: 329.29556890328723
avg 3 return on policy: 325.0314998626709
avg 3 return on policy: 309.5849036375682
avg 3 return on policy: 311.1343477169673
avg 3 return on policy: 313.8852446079254
avg 3 return on policy: 333.3855528831482
avg 3 return on policy: 343.38236769040424
avg 3 return on policy: 317.1192698081334
avg 3 return on policy: 326.244810461998
avg 3 return on policy: 324.02583316961926
avg 3 return on policy: 300.98171134789783
avg 3 return on policy: 287.7311344941457
avg 3 return on policy: 338.8505983352661
avg 3 return on policy: 330.97984691460925
avg 3 return on policy: 330.52534306049347
avg 3 return on policy: 335.06108192602795
avg 3 return on policy: 342.6496622165044
avg 3 return on policy: 342.94383494059247
avg 3 return on policy: 337.34011352062225
avg 3 return on policy: 343.6160948673884
avg 3 return on policy: 327.91796759764355
avg 3 return on policy: 341.1002069711685
avg 3 return on policy: 347.72233088811237
avg 3 return on policy: 339.455598672231
avg 3 return on policy: 346.2867257595062
avg 3 return on policy: 343.4309373696645
avg 3 return on policy: 348.2648950815201
avg 3 return on policy: 360.0230545600255
avg 3 return on policy: 361.5244605143865
avg 3 return on policy: 344.09400975704193
avg 3 return on policy: 345.81068817774457
avg 3 return on policy: 354.75504875183105
avg 3 return on policy: 354.9811322291692
avg 3 return on policy: 357.4213939507802
avg 3 return on policy: 372.12410549322766
avg 3 return on policy: 385.7594753901164
avg 3 return on policy: 376.8224718173345
avg 3 return on policy: 392.2632087469101
avg 3 return on policy: 374.1289136807124
avg 3 return on policy: 365.8651891549428
avg 3 return on policy: 380.23577348391217
avg 3 return on policy: 380.51077449321747
avg 3 return on policy: 388.272420724233
avg 3 return on policy: 388.55590931574505
avg 3 return on policy: 388.64597539107007
avg 3 return on policy: 360.67402545611066
avg 3 return on policy: 310.1352979739507
avg 3 return on policy: 294.551615913709
avg 3 return on policy: 371.01644933223724
avg 3 return on policy: 382.5762977202733
avg 3 return on policy: 386.50014277299243
avg 3 return on policy: 397.42769881089527
avg 3 return on policy: 396.64098954200745
avg 3 return on policy: 388.69344512621564
avg 3 return on policy: 372.0691076517105
avg 3 return on policy: 380.50698669751483
avg 3 return on policy: 389.0054904619853
avg 3 return on policy: 395.9157407283783
avg 3 return on policy: 402.9064999818802
avg 3 return on policy: 396.54729759693146
avg 3 return on policy: 402.60548726717633
avg 3 return on policy: 410.3919916152954
avg 3 return on policy: 401.41587428251904
avg 3 return on policy: 397.4277004400889
avg 3 return on policy: 377.91312245527905
avg 3 return on policy: 215.36216843128204
avg 3 return on policy: 224.65157330036163
avg 3 return on policy: 325.156622727712
avg 3 return on policy: 323.1519751548767
avg 3 return on policy: 330.1555914084117
avg 3 return on policy: 378.00155619780224
avg 3 return on policy: 298.51402791341144
avg 3 return on policy: 345.7561935186386
avg 3 return on policy: 222.86447723706564
avg 3 return on policy: 374.7378834883372
avg 3 return on policy: 393.0070770581563
avg 3 return on policy: 391.2407443523407
avg 3 return on policy: 381.932111064593
avg 3 return on policy: 372.6596711874008
avg 3 return on policy: 344.5145438114802
avg 3 return on policy: 315.68539079030353
avg 3 return on policy: 310.0985789696376
avg 3 return on policy: 353.75751682122547
avg 3 return on policy: 368.86570187409717
avg 3 return on policy: 345.699585835139
avg 3 return on policy: 319.8783376614253
avg 3 return on policy: 229.84891963005066
avg 3 return on policy: 274.6727963288625
avg 3 return on policy: 297.08623445034027
avg 3 return on policy: 326.74696417649585
avg 3 return on policy: 342.62385523319244
avg 3 return on policy: 369.97876874605817
avg 3 return on policy: 397.8156001170476
avg 3 return on policy: 415.75072805086774
avg 3 return on policy: 453.70322529474896
avg 3 return on policy: 466.90110139052075
avg 3 return on policy: 467.1154886484146
avg 3 return on policy: 453.31378237406415
avg 3 return on policy: 460.4136054118474
avg 3 return on policy: 467.4764796098073
avg 3 return on policy: 422.0406120618184
avg 3 return on policy: 416.76381774743396
avg 3 return on policy: 427.8934842348099
avg 3 return on policy: 422.5602810382843
avg 3 return on policy: 419.4333661397298
avg 3 return on policy: 196.45931029319763
avg 3 return on policy: 200.1678065856298
avg 3 return on policy: 200.808127562205
avg 3 return on policy: 200.12612223625183
avg 3 return on policy: 218.0459506114324
avg 3 return on policy: 221.4591404994329
avg 3 return on policy: 231.79194490114847
avg 3 return on policy: 231.1335732539495
avg 3 return on policy: 239.45612716674805
avg 3 return on policy: 259.7120096683502
avg 3 return on policy: 253.19304744402567
avg 3 return on policy: 250.75343771775565
avg 3 return on policy: 279.47377415498096
avg 3 return on policy: 307.5415655374527
avg 3 return on policy: 309.9610390663147
avg 3 return on policy: 314.9896498521169
avg 3 return on policy: 324.53197264671326
avg 3 return on policy: 316.4913215637207
avg 3 return on policy: 328.6765824953715
avg 3 return on policy: 336.85011994838715
avg 3 return on policy: 326.65452984968823
avg 3 return on policy: 335.1831335226695
avg 3 return on policy: 349.37130924065906
avg 3 return on policy: 359.025883992513
avg 3 return on policy: 264.45308752854663
avg 3 return on policy: 362.0008790890376
avg 3 return on policy: 377.4955820242564
avg 3 return on policy: 382.52527193228406
avg 3 return on policy: 383.9217222929001
avg 3 return on policy: 361.43374359607697
avg 3 return on policy: 372.3906356890996
avg 3 return on policy: 386.24474314848584
avg 3 return on policy: 392.0753331184387
avg 3 return on policy: 387.65715702374774
avg 3 return on policy: 387.0856509208679
avg 3 return on policy: 386.17131825288135
avg 3 return on policy: 386.24527009328204
avg 3 return on policy: 205.55269948641458
avg 3 return on policy: 212.0393729607264
avg 3 return on policy: 212.89094932874045
avg 3 return on policy: 215.63152941068014
avg 3 return on policy: 213.26122415065765
avg 3 return on policy: 217.856738169988
avg 3 return on policy: 219.27591570218405
avg 3 return on policy: 229.96958192189535
avg 3 return on policy: 244.06361611684164
avg 3 return on policy: 268.9351553916931
avg 3 return on policy: 242.51797930399576
avg 3 return on policy: 244.90772596995035
avg 3 return on policy: 237.0520063638687
avg 3 return on policy: 247.76230176289877
avg 3 return on policy: 250.7958961725235
avg 3 return on policy: 252.89728824297586
avg 3 return on policy: 266.08071927229565
avg 3 return on policy: 271.0715374151866
avg 3 return on policy: 261.9484499692917
avg 3 return on policy: 254.89665389060974
avg 3 return on policy: 270.23350683848065
avg 3 return on policy: 263.0313598712285
avg 3 return on policy: 260.26384472846985
avg 3 return on policy: 268.8814979394277
avg 3 return on policy: 266.7909181515376
avg 3 return on policy: 253.62298887968063
avg 3 return on policy: 269.04905700683594
avg 3 return on policy: 269.18538268407184
avg 3 return on policy: 264.8581682443619
avg 3 return on policy: 182.35989512999853
avg 3 return on policy: 249.41216111183167
avg 3 return on policy: 246.7820083697637
avg 3 return on policy: 105.45166927576065
avg 3 return on policy: 245.91106657187143
avg 3 return on policy: 257.05217405160266
avg 3 return on policy: 263.69005326430005
avg 3 return on policy: 263.2264806032181
avg 3 return on policy: 272.18198605378467
avg 3 return on policy: 262.1843635241191
avg 3 return on policy: 259.5855636994044
avg 3 return on policy: 260.4740660190582
avg 3 return on policy: 260.5272676547368
avg 3 return on policy: 262.7201852798462
avg 3 return on policy: 264.3001178900401
avg 3 return on policy: 267.28186945120495
avg 3 return on policy: 269.7665294408798
avg 3 return on policy: 273.97887976964313
avg 3 return on policy: 277.32130046685535
avg 3 return on policy: 278.9928414821625
avg 3 return on policy: 265.8549009958903
avg 3 return on policy: 330.52276062965393
avg 3 return on policy: 303.5093609491984
avg 3 return on policy: 307.6534426212311
avg 3 return on policy: 337.38721505800885
avg 3 return on policy: 311.8104399840037
avg 3 return on policy: 319.5953591664632
avg 3 return on policy: 335.19051845868427
avg 3 return on policy: 349.8883992433548
avg 3 return on policy: 368.16446816921234
avg 3 return on policy: 379.55570868651074
avg 3 return on policy: 371.35642460982007
avg 3 return on policy: 383.8056828578313
avg 3 return on policy: 397.36401502291363
avg 3 return on policy: 389.41484808921814
avg 3 return on policy: 384.6471065680186
avg 3 return on policy: 394.30111265182495
avg 3 return on policy: 379.15378793080646
avg 3 return on policy: 398.718731880188
avg 3 return on policy: 388.2574649254481
avg 3 return on policy: 392.5371560851733
avg 3 return on policy: 403.9669562180837
avg 3 return on policy: 401.3512500524521
avg 3 return on policy: 351.6300740838051
avg 3 return on policy: 404.6449102958043
avg 3 return on policy: 407.39607922236127
avg 3 return on policy: 412.1916306813558
avg 3 return on policy: 414.207793990771
avg 3 return on policy: 415.66505507628125
avg 3 return on policy: 423.1173954407374
avg 3 return on policy: 361.4663277069728
avg 3 return on policy: 424.48062284787494
avg 3 return on policy: 428.5984944502513
avg 3 return on policy: 426.627811272939
avg 3 return on policy: 430.63206748167676
avg 3 return on policy: 433.52176797389984
avg 3 return on policy: 438.0452134211858
avg 3 return on policy: 435.4978890816371
avg 3 return on policy: 433.2319581111272
avg 3 return on policy: 439.93732702732086
avg 3 return on policy: 446.2621028820674
avg 3 return on policy: 439.7456754843394
avg 3 return on policy: 428.18658328056335
avg 3 return on policy: 420.0577178796132
avg 3 return on policy: 424.9027905861537
avg 3 return on policy: 90.52213068803151
avg 3 return on policy: 77.15904537836711
avg 3 return on policy: 80.80077596505483
avg 3 return on policy: 85.27411119143169
avg 3 return on policy: 83.71561058362325
avg 3 return on policy: 74.09866793950398
avg 3 return on policy: 79.06555444002151
avg 3 return on policy: 82.56153257687886
avg 3 return on policy: 88.24911238749822
avg 3 return on policy: 206.87206451098123
avg 3 return on policy: 223.16215348243713
avg 3 return on policy: 327.0653995672862
avg 3 return on policy: 385.20075434446335
avg 3 return on policy: 376.5362664461136
avg 3 return on policy: 390.6105982263883
avg 3 return on policy: 395.28954025109607
avg 3 return on policy: 403.0083025097847
avg 3 return on policy: 384.5208583871524
avg 3 return on policy: 426.2099111477534
avg 3 return on policy: 424.4049092531204
avg 3 return on policy: 425.0463870366414
avg 3 return on policy: 421.28168600797653
avg 3 return on policy: 429.23262536525726
avg 3 return on policy: 434.53671991825104
avg 3 return on policy: 420.99829151233035
avg 3 return on policy: 200.94254233439764
avg 3 return on policy: 203.47282189130783
avg 3 return on policy: 201.67932893832526
avg 3 return on policy: 202.111168662707
avg 3 return on policy: 203.38752263784409
avg 3 return on policy: 238.93527648846307
avg 3 return on policy: 240.391506532828
avg 3 return on policy: 244.10622709989548
avg 3 return on policy: 223.6616352200508
avg 3 return on policy: 200.00765057404837
avg 3 return on policy: 202.24193026622137
avg 3 return on policy: 216.4578283627828
avg 3 return on policy: 216.78360213836035
avg 3 return on policy: 257.0750620166461
avg 3 return on policy: 259.38056125243503
avg 3 return on policy: 254.55458585421243
avg 3 return on policy: 246.81852869192758
avg 3 return on policy: 390.03980046510696
avg 3 return on policy: 260.6371776064237
avg 3 return on policy: 347.2568119565646
avg 3 return on policy: 385.7424029111862
avg 3 return on policy: 388.29223132133484
avg 3 return on policy: 394.1353094776471
avg 3 return on policy: 387.7617021004359
avg 3 return on policy: 387.1303348938624
avg 3 return on policy: 386.08943345149356
avg 3 return on policy: 399.2795440355937
avg 3 return on policy: 391.04177304108936
avg 3 return on policy: 394.0199582179387
avg 3 return on policy: 397.1499698956807
avg 3 return on policy: 405.45010284582776
avg 3 return on policy: 417.04023339351016
avg 3 return on policy: 407.2668204108874
avg 3 return on policy: 404.5567947626114
avg 3 return on policy: 403.57264192899066
avg 3 return on policy: 405.2032184799512
avg 3 return on policy: 400.21541055043537
avg 3 return on policy: 389.83211465676624
avg 3 return on policy: 395.34018260240555
avg 3 return on policy: 420.6457762320836
avg 3 return on policy: 428.181804060936
avg 3 return on policy: 431.06469225883484
avg 3 return on policy: 434.38696241378784
avg 3 return on policy: 433.75002177556354
avg 3 return on policy: 428.87258531649906
avg 3 return on policy: 426.07329567273456
avg 3 return on policy: 424.303845624129
avg 3 return on policy: 430.8030778368314
avg 3 return on policy: 385.0256294409434
avg 3 return on policy: 382.45131345589954
avg 3 return on policy: 193.3834569255511
avg 3 return on policy: 189.22705268859863
avg 3 return on policy: 387.1219385266304
avg 3 return on policy: 388.74613459904987
avg 3 return on policy: 373.97081283728284
avg 3 return on policy: 337.96189562479657
avg 3 return on policy: 248.95172609885535
avg 3 return on policy: 316.4665781259537
avg 3 return on policy: 409.44907371203107
avg 3 return on policy: 415.724669555823
avg 3 return on policy: 412.36571989456814
avg 3 return on policy: 398.55993247032166
avg 3 return on policy: 364.4142303466797
avg 3 return on policy: 397.2838051915169
avg 3 return on policy: 391.8102945288022
avg 3 return on policy: 383.9004221359889
avg 3 return on policy: 373.27294981479645
avg 3 return on policy: 388.7780067722003
avg 3 return on policy: 276.9013325572014
avg 3 return on policy: 393.6591322024663
avg 3 return on policy: 399.0566186904907
avg 3 return on policy: 400.33710624774295
avg 3 return on policy: 400.1975568135579
avg 3 return on policy: 398.0315604408582
avg 3 return on policy: 403.11926360925037
avg 3 return on policy: 397.4742922782898
avg 3 return on policy: 368.6995872060458
avg 3 return on policy: 382.2526333729426
avg 3 return on policy: 390.2972632050514
avg 3 return on policy: 266.686624666055
avg 3 return on policy: 204.87245470285416
avg 3 return on policy: 336.9587996204694
avg 3 return on policy: 401.3029794494311
avg 3 return on policy: 393.25451310475665
avg 3 return on policy: 394.98844957351685
avg 3 return on policy: 391.72508561611176
avg 3 return on policy: 381.33536700407666
avg 3 return on policy: 390.6637564301491
avg 3 return on policy: 402.8095007141431
avg 3 return on policy: 410.15162831544876
avg 3 return on policy: 435.6716972788175
avg 3 return on policy: 427.78568863868713
avg 3 return on policy: 423.6321380337079
avg 3 return on policy: 427.8853970368703
avg 3 return on policy: 424.4792882402738
avg 3 return on policy: 414.20648924509686
avg 3 return on policy: 428.12443031867343
avg 3 return on policy: 420.24415866533917
avg 3 return on policy: 412.71158881982166
avg 3 return on policy: 412.6719048023224
avg 3 return on policy: 418.7935852607091
avg 3 return on policy: 410.3707045118014
avg 3 return on policy: 424.1855459809303
avg 3 return on policy: 396.16053732236225
avg 3 return on policy: 404.66962655385333
avg 3 return on policy: 425.6595492561658
avg 3 return on policy: 414.4493413368861
avg 3 return on policy: 404.4434468944867
avg 3 return on policy: 347.88614904880524
avg 3 return on policy: 422.91364190975827
avg 3 return on policy: 418.59719175100327
avg 3 return on policy: 289.40522925059
avg 3 return on policy: 429.87183247009915
avg 3 return on policy: 438.08980053663254
avg 3 return on policy: 435.383083820343
avg 3 return on policy: 437.3434348106384
avg 3 return on policy: 426.9822071790695
avg 3 return on policy: 439.67191489537555
avg 3 return on policy: 477.12833710511524
avg 3 return on policy: 496.0733657677968
avg 3 return on policy: 533.7790236870447
avg 3 return on policy: 534.8810585538546
avg 3 return on policy: 434.5184158881505
avg 3 return on policy: 420.8533595999082
avg 3 return on policy: 461.1392277081807
avg 3 return on policy: 459.2526305119197
avg 3 return on policy: 452.12381043036777
avg 3 return on policy: 416.213852306207
avg 3 return on policy: 457.53626279036206
avg 3 return on policy: 447.96470801035565
avg 3 return on policy: 398.0933487415314
avg 3 return on policy: 382.0069426894188
avg 3 return on policy: 429.0378316640854
avg 3 return on policy: 490.0486487547557
avg 3 return on policy: 517.9665151039759
avg 3 return on policy: 455.62117743492126
avg 3 return on policy: 403.87024557590485
avg 3 return on policy: 420.52467944224674
avg 3 return on policy: 536.5163832505544
avg 3 return on policy: 407.1935711503029
avg 3 return on policy: 538.0883599718412
avg 3 return on policy: 543.4008867939314
avg 3 return on policy: 536.4231761495272
avg 3 return on policy: 189.68035600582758
avg 3 return on policy: 539.480505724748
avg 3 return on policy: 542.3724836707115
avg 3 return on policy: 537.6547869642576
avg 3 return on policy: 536.124404489994
avg 3 return on policy: 540.5126749873161
avg 3 return on policy: 547.1208648085594
avg 3 return on policy: 550.3044755856196
avg 3 return on policy: 556.5443550745646
avg 3 return on policy: 477.26848059892654
avg 3 return on policy: 541.8479095300039
avg 3 return on policy: 550.6608769893646
avg 3 return on policy: 560.4795048236847
avg 3 return on policy: 593.8653918902079
avg 3 return on policy: 570.8835147619247
avg 3 return on policy: 591.6064216891924
avg 3 return on policy: 531.050272444884
avg 3 return on policy: 472.66259004672366
avg 3 return on policy: 406.1377702156703
avg 3 return on policy: 547.533996562163
avg 3 return on policy: 400.3946322997411
avg 3 return on policy: 408.9501906633377
avg 3 return on policy: 492.07407265901566
avg 3 return on policy: 483.48611132303876
avg 3 return on policy: 470.1197711825371
avg 3 return on policy: 470.6809216539065
avg 3 return on policy: 465.1110504070918
avg 3 return on policy: 465.63995112975437
avg 3 return on policy: 452.35308460394543
avg 3 return on policy: 463.718788087368
avg 3 return on policy: 460.35119636853534
avg 3 return on policy: 457.595286488533
avg 3 return on policy: 414.9270314971606
avg 3 return on policy: 354.16546752055484
avg 3 return on policy: 410.2118158141772
avg 3 return on policy: 403.22371369600296
avg 3 return on policy: 427.80361449718475
avg 3 return on policy: 377.40871993700665
avg 3 return on policy: 295.46280829111737
avg 3 return on policy: 354.5098546743393
avg 3 return on policy: 335.98691445589066
avg 3 return on policy: 189.25994880994162
avg 3 return on policy: 316.60322803258896
avg 3 return on policy: 411.2057758967082
