No devices were found
Environment created
Box(-1.0, 1.0, (8,), float32) Box(-inf, inf, (105,), float64)
Loading Initial saved model
Model loaded
Starting evaluation
5000
---------------------------------
Searching empty space policies
(10, 11472)
(210, 11472)
(210, 11472)
avg return on 5 trajectories of agent127: 762.5989443999999
avg return on 5 trajectories of agent128: 1045.6381674
avg return on 5 trajectories of agent129: 800.8341670000001
avg return on 5 trajectories of agent130: 717.8810708
avg return on 5 trajectories of agent131: 822.1356254
avg return on 5 trajectories of agent132: 736.6808184
avg return on 5 trajectories of agent133: 741.0046874
avg return on 5 trajectories of agent134: 874.4631608
avg return on 5 trajectories of agent135: 758.6229672
avg return on 5 trajectories of agent136: 746.0543346000001
avg return on 5 trajectories of agent137: 927.8539424
avg return on 5 trajectories of agent138: 633.5075240000001
avg return on 5 trajectories of agent139: 779.0522202
avg return on 5 trajectories of agent140: 792.9295816
avg return on 5 trajectories of agent141: 883.0586108
avg return on 5 trajectories of agent142: 794.5630462
avg return on 5 trajectories of agent143: 871.4361094
avg return on 5 trajectories of agent144: 793.8432283999999
avg return on 5 trajectories of agent145: 708.5456774
avg return on 5 trajectories of agent146: 658.6196248
avg return on 5 trajectories of agent147: 942.8260006
avg return on 5 trajectories of agent148: 690.524947
avg return on 5 trajectories of agent149: 1013.0241196
avg return on 5 trajectories of agent150: 749.1801956
avg return on 5 trajectories of agent151: 851.5787612
avg return on 5 trajectories of agent152: 788.880352
avg return on 5 trajectories of agent153: 823.0459449999998
avg return on 5 trajectories of agent154: 632.7655001999999
avg return on 5 trajectories of agent155: 711.0656518
avg return on 5 trajectories of agent156: 652.2381832
avg return on 5 trajectories of agent157: 801.147248
avg return on 5 trajectories of agent158: 694.23918
avg return on 5 trajectories of agent159: 815.3213116
avg return on 5 trajectories of agent160: 597.1393736
avg return on 5 trajectories of agent161: 617.0764946000002
avg return on 5 trajectories of agent162: 557.9214346000001
avg return on 5 trajectories of agent163: 541.3547882
avg return on 5 trajectories of agent164: 535.3786376
avg return on 5 trajectories of agent165: 542.335692
avg return on 5 trajectories of agent166: 545.8728174
avg return on 5 trajectories of agent167: 565.330653
avg return on 5 trajectories of agent168: 979.1552978
avg return on 5 trajectories of agent169: 961.9388574000001
avg return on 5 trajectories of agent170: 793.2268535999999
avg return on 5 trajectories of agent171: 852.0723072000001
avg return on 5 trajectories of agent172: 676.6582418
avg return on 5 trajectories of agent173: 710.5728166000001
avg return on 5 trajectories of agent174: 709.9274188
avg return on 5 trajectories of agent175: 836.849633
avg return on 5 trajectories of agent176: 653.3148926
avg return on 5 trajectories of agent177: 645.6079496
avg return on 5 trajectories of agent178: 600.8327655999999
avg return on 5 trajectories of agent179: 582.1506842
avg return on 5 trajectories of agent180: 562.9690474000001
avg return on 5 trajectories of agent181: 569.3218658
avg return on 5 trajectories of agent182: 577.3766774
avg return on 5 trajectories of agent183: 585.3166773999999
avg return on 5 trajectories of agent184: 537.2122608
avg return on 5 trajectories of agent185: 537.5685308
avg return on 5 trajectories of agent186: 539.6218992
avg return on 5 trajectories of agent187: 516.0692833999999
avg return on 5 trajectories of agent188: 498.1179852
avg return on 5 trajectories of agent189: 889.4186768
avg return on 5 trajectories of agent190: 874.9333232000001
avg return on 5 trajectories of agent191: 837.7388676
avg return on 5 trajectories of agent192: 895.0309848
avg return on 5 trajectories of agent193: 808.0891358
avg return on 5 trajectories of agent194: 880.0134312
avg return on 5 trajectories of agent195: 751.3760678000001
avg return on 5 trajectories of agent196: 871.7338836000001
avg return on 5 trajectories of agent197: 675.3223172
avg return on 5 trajectories of agent198: 744.3922046
avg return on 5 trajectories of agent199: 649.9744946
avg return on 5 trajectories of agent200: 596.3709258000001
avg return on 5 trajectories of agent201: 582.2137256
avg return on 5 trajectories of agent202: 573.8982252
avg return on 5 trajectories of agent203: 612.5181486
avg return on 5 trajectories of agent204: 565.2896812
avg return on 5 trajectories of agent205: 541.7986715999999
avg return on 5 trajectories of agent206: 538.0697
avg return on 5 trajectories of agent207: 533.5330824
avg return on 5 trajectories of agent208: 516.1822400000001
avg return on 5 trajectories of agent209: 519.5366142
Pearson correlation coefficient: 0.12732703708113616
Spearman correlation coefficient: -0.09998995766019962
the best agent: 74, avg policy: 1348.1859874
5001
---------------------------------
Searching empty space policies
(10, 11472)
(210, 11472)
(210, 11472)
Average distance of agents to nearest neighbors: 0.015055943171750892
avg return on 5 trajectories of agent0: 1218.5715702
avg return on 5 trajectories of agent1: 1286.3688752
avg return on 5 trajectories of agent2: 1194.7885426
avg return on 5 trajectories of agent3: 1264.6599330000001
avg return on 5 trajectories of agent4: 1319.1547662
avg return on 5 trajectories of agent5: 1102.215695
avg return on 5 trajectories of agent6: 1254.7372416
avg return on 5 trajectories of agent7: 1306.1103718
avg return on 5 trajectories of agent8: 1107.253855
avg return on 5 trajectories of agent9: 1222.7967906
avg return on 5 trajectories of agent10: 998.0107782000001
avg return on 5 trajectories of agent11: 1163.1740814
avg return on 5 trajectories of agent12: 860.3510505999999
avg return on 5 trajectories of agent13: 1082.6109396
avg return on 5 trajectories of agent14: 1238.5250016000002
avg return on 5 trajectories of agent15: 1037.406535
avg return on 5 trajectories of agent16: 975.4521308
avg return on 5 trajectories of agent17: 868.2194825999999
avg return on 5 trajectories of agent18: 1060.8772176
avg return on 5 trajectories of agent19: 696.9963971999999
avg return on 5 trajectories of agent20: 712.1990732000002
avg return on 5 trajectories of agent21: 1280.010851
avg return on 5 trajectories of agent22: 1310.549815
avg return on 5 trajectories of agent23: 1278.5590822
avg return on 5 trajectories of agent24: 1385.724208
avg return on 5 trajectories of agent25: 1291.5467614000002
avg return on 5 trajectories of agent26: 1307.5551968
avg return on 5 trajectories of agent27: 1373.593827
avg return on 5 trajectories of agent28: 1041.8853068
avg return on 5 trajectories of agent29: 1116.4731732
avg return on 5 trajectories of agent30: 1366.2841316
avg return on 5 trajectories of agent31: 1132.3554044
avg return on 5 trajectories of agent32: 1321.2579748
avg return on 5 trajectories of agent33: 1209.356745
avg return on 5 trajectories of agent34: 1136.5775016
avg return on 5 trajectories of agent35: 1236.2156482
avg return on 5 trajectories of agent36: 1234.4839928
avg return on 5 trajectories of agent37: 1274.0287996000002
avg return on 5 trajectories of agent38: 1021.3778995999999
avg return on 5 trajectories of agent39: 1192.9833648000001
avg return on 5 trajectories of agent40: 1383.6639494
avg return on 5 trajectories of agent41: 1097.3325236
avg return on 5 trajectories of agent42: 1275.2714028
avg return on 5 trajectories of agent43: 1360.0258906
avg return on 5 trajectories of agent44: 1157.1155782
avg return on 5 trajectories of agent45: 1367.2426276
avg return on 5 trajectories of agent46: 1384.8849954
avg return on 5 trajectories of agent47: 1274.4322332
avg return on 5 trajectories of agent48: 1378.035138
avg return on 5 trajectories of agent49: 1225.7570062
avg return on 5 trajectories of agent50: 1221.8657558
avg return on 5 trajectories of agent51: 1249.1167850000002
avg return on 5 trajectories of agent52: 1131.5290548
avg return on 5 trajectories of agent53: 1127.7124662
avg return on 5 trajectories of agent54: 1277.3251924
avg return on 5 trajectories of agent55: 1203.8364004
avg return on 5 trajectories of agent56: 1152.1589208
avg return on 5 trajectories of agent57: 1172.5589216
avg return on 5 trajectories of agent58: 1323.376127
avg return on 5 trajectories of agent59: 1306.8344664
avg return on 5 trajectories of agent60: 1189.2215004000002
avg return on 5 trajectories of agent61: 1313.9887308
avg return on 5 trajectories of agent62: 1016.4747592
avg return on 5 trajectories of agent63: 1210.1043412
avg return on 5 trajectories of agent64: 1316.71737
avg return on 5 trajectories of agent65: 1188.0559266
avg return on 5 trajectories of agent66: 1303.2511044
avg return on 5 trajectories of agent67: 1210.9516045999999
avg return on 5 trajectories of agent68: 1121.2404846
avg return on 5 trajectories of agent69: 1127.840302
avg return on 5 trajectories of agent70: 1141.6312593999999
avg return on 5 trajectories of agent71: 1081.36895
avg return on 5 trajectories of agent72: 1031.5082918
avg return on 5 trajectories of agent73: 1187.3667518
avg return on 5 trajectories of agent74: 900.2706752
avg return on 5 trajectories of agent75: 914.0730278000001
avg return on 5 trajectories of agent76: 936.1071718
avg return on 5 trajectories of agent77: 907.4038604000001
avg return on 5 trajectories of agent78: 673.1062604000001
avg return on 5 trajectories of agent79: 675.9566228000001
avg return on 5 trajectories of agent80: 842.3416301999999
avg return on 5 trajectories of agent81: 701.7893136
avg return on 5 trajectories of agent82: 833.030617
avg return on 5 trajectories of agent83: 853.7877042
avg return on 5 trajectories of agent84: 1220.1384968
avg return on 5 trajectories of agent85: 1104.6623308000003
avg return on 5 trajectories of agent86: 1116.4414213999999
avg return on 5 trajectories of agent87: 1358.3258001999998
avg return on 5 trajectories of agent88: 1197.504154
avg return on 5 trajectories of agent89: 1275.2848319999998
avg return on 5 trajectories of agent90: 1148.7601146
avg return on 5 trajectories of agent91: 1173.1637058000001
avg return on 5 trajectories of agent92: 1191.612577
avg return on 5 trajectories of agent93: 1001.5144616
avg return on 5 trajectories of agent94: 1069.767098
avg return on 5 trajectories of agent95: 1124.1764449999998
avg return on 5 trajectories of agent96: 908.1832904
avg return on 5 trajectories of agent97: 912.1955379999999
avg return on 5 trajectories of agent98: 998.0780282
avg return on 5 trajectories of agent99: 1002.2437380000001
avg return on 5 trajectories of agent100: 965.4251776000001
avg return on 5 trajectories of agent101: 845.8936470000001
avg return on 5 trajectories of agent102: 1001.4169686000001
avg return on 5 trajectories of agent103: 866.1468968000001
avg return on 5 trajectories of agent104: 1043.990639
avg return on 5 trajectories of agent105: 1264.7991942
avg return on 5 trajectories of agent106: 1283.5886134
avg return on 5 trajectories of agent107: 1135.1008542000002
avg return on 5 trajectories of agent108: 1227.7785219999998
avg return on 5 trajectories of agent109: 1293.4230364
avg return on 5 trajectories of agent110: 1290.8144244
avg return on 5 trajectories of agent111: 1241.2994046
avg return on 5 trajectories of agent112: 1083.8017625999998
avg return on 5 trajectories of agent113: 1083.395667
avg return on 5 trajectories of agent114: 1087.3575494
avg return on 5 trajectories of agent115: 1155.1322533999999
avg return on 5 trajectories of agent116: 1099.9590968
avg return on 5 trajectories of agent117: 1038.6208761999999
avg return on 5 trajectories of agent118: 1029.1667146000002
avg return on 5 trajectories of agent119: 842.3997654000001
avg return on 5 trajectories of agent120: 1024.7353306
avg return on 5 trajectories of agent121: 1118.7178442
avg return on 5 trajectories of agent122: 1068.573747
avg return on 5 trajectories of agent123: 1029.6661704
avg return on 5 trajectories of agent124: 1019.0421874000001
avg return on 5 trajectories of agent125: 1011.2908656
avg return on 5 trajectories of agent126: 1227.6081026000002
avg return on 5 trajectories of agent127: 1327.400365
avg return on 5 trajectories of agent128: 1235.3764368
avg return on 5 trajectories of agent129: 1336.4855194
avg return on 5 trajectories of agent130: 1249.5280693999998
avg return on 5 trajectories of agent131: 1299.9889675999998
avg return on 5 trajectories of agent132: 1323.2421022
avg return on 5 trajectories of agent133: 1370.9942424
avg return on 5 trajectories of agent134: 1224.1940576000002
avg return on 5 trajectories of agent135: 1384.992267
avg return on 5 trajectories of agent136: 1230.9611184
avg return on 5 trajectories of agent137: 1079.8640123999999
avg return on 5 trajectories of agent138: 1339.7930104000002
avg return on 5 trajectories of agent139: 1276.8085148000002
avg return on 5 trajectories of agent140: 1229.952392
avg return on 5 trajectories of agent141: 1074.3070034
avg return on 5 trajectories of agent142: 1090.8143307999999
avg return on 5 trajectories of agent143: 1193.9954702
avg return on 5 trajectories of agent144: 1110.0826917999998
avg return on 5 trajectories of agent145: 1144.4353514
avg return on 5 trajectories of agent146: 1066.5880412
avg return on 5 trajectories of agent147: 1319.8295409999998
avg return on 5 trajectories of agent148: 1275.4310148
avg return on 5 trajectories of agent149: 1208.2202212
avg return on 5 trajectories of agent150: 1290.1424316
avg return on 5 trajectories of agent151: 1277.3335822000001
avg return on 5 trajectories of agent152: 1185.714698
avg return on 5 trajectories of agent153: 1304.7128658000001
avg return on 5 trajectories of agent154: 1345.4640688
avg return on 5 trajectories of agent155: 1204.159064
avg return on 5 trajectories of agent156: 1261.2434382
avg return on 5 trajectories of agent157: 1195.4565268000001
avg return on 5 trajectories of agent158: 1188.2184052
avg return on 5 trajectories of agent159: 1094.1950273999998
avg return on 5 trajectories of agent160: 1104.0485605999997
avg return on 5 trajectories of agent161: 1231.2786148
avg return on 5 trajectories of agent162: 982.6561972000002
avg return on 5 trajectories of agent163: 1146.8859606
avg return on 5 trajectories of agent164: 954.5618883999999
avg return on 5 trajectories of agent165: 1114.3460262
avg return on 5 trajectories of agent166: 1103.0659716
avg return on 5 trajectories of agent167: 579.9850602
avg return on 5 trajectories of agent168: 1234.2849166
avg return on 5 trajectories of agent169: 1128.0087212
avg return on 5 trajectories of agent170: 1297.1674608
avg return on 5 trajectories of agent171: 1313.3069244000003
avg return on 5 trajectories of agent172: 1308.2086516
avg return on 5 trajectories of agent173: 1319.9875252
avg return on 5 trajectories of agent174: 1343.6984764
avg return on 5 trajectories of agent175: 1293.3449776000002
avg return on 5 trajectories of agent176: 1233.865033
avg return on 5 trajectories of agent177: 1241.0228628
avg return on 5 trajectories of agent178: 1240.1973582
avg return on 5 trajectories of agent179: 1226.2347908
avg return on 5 trajectories of agent180: 1075.844246
avg return on 5 trajectories of agent181: 1078.9224535999997
avg return on 5 trajectories of agent182: 1108.6468386000001
avg return on 5 trajectories of agent183: 1153.1126726
avg return on 5 trajectories of agent184: 1053.445613
avg return on 5 trajectories of agent185: 1121.9583559999999
avg return on 5 trajectories of agent186: 1006.6235962000001
avg return on 5 trajectories of agent187: 1102.705351
avg return on 5 trajectories of agent188: 995.9013461999999
avg return on 5 trajectories of agent189: 1330.9909222
avg return on 5 trajectories of agent190: 1179.833009
avg return on 5 trajectories of agent191: 1239.1425416000002
avg return on 5 trajectories of agent192: 1366.2018216000001
avg return on 5 trajectories of agent193: 1375.6550670000001
avg return on 5 trajectories of agent194: 1290.6386183999998
avg return on 5 trajectories of agent195: 1293.5095056000002
avg return on 5 trajectories of agent196: 1253.3845046000001
avg return on 5 trajectories of agent197: 1264.2808512000001
avg return on 5 trajectories of agent198: 1126.1113464
avg return on 5 trajectories of agent199: 1127.5491782000001
avg return on 5 trajectories of agent200: 1251.5821522
avg return on 5 trajectories of agent201: 1109.3358036
avg return on 5 trajectories of agent202: 1206.9223182
avg return on 5 trajectories of agent203: 1182.0611522
avg return on 5 trajectories of agent204: 1101.0515962
avg return on 5 trajectories of agent205: 1070.2513635999999
avg return on 5 trajectories of agent206: 1061.990534
avg return on 5 trajectories of agent207: 908.9479073999998
avg return on 5 trajectories of agent208: 1017.3503266
avg return on 5 trajectories of agent209: 1079.8746414000002
Pearson correlation coefficient: -0.5095060875919131
Spearman correlation coefficient: -0.5627072852316055
the best agent: 24, avg policy: 1385.724208
5002
---------------------------------
Searching empty space policies
(10, 11472)
(210, 11472)
(210, 11472)
Average distance of agents to nearest neighbors: 0.014907997048085124
avg return on 5 trajectories of agent0: 1336.0299306000002
avg return on 5 trajectories of agent1: 1332.8022142
avg return on 5 trajectories of agent2: 1283.0749586000002
avg return on 5 trajectories of agent3: 1045.8821028
avg return on 5 trajectories of agent4: 1111.5911395999997
avg return on 5 trajectories of agent5: 930.1475
avg return on 5 trajectories of agent6: 718.8528232
avg return on 5 trajectories of agent7: 704.888267
avg return on 5 trajectories of agent8: 706.5566723999999
avg return on 5 trajectories of agent9: 606.0641376000001
avg return on 5 trajectories of agent10: 660.2788999999999
avg return on 5 trajectories of agent11: 578.677572
avg return on 5 trajectories of agent12: 565.8695974
avg return on 5 trajectories of agent13: 564.1278566000001
avg return on 5 trajectories of agent14: 644.0287344
avg return on 5 trajectories of agent15: 536.3458236
avg return on 5 trajectories of agent16: 512.8126238
avg return on 5 trajectories of agent17: 511.51259200000004
avg return on 5 trajectories of agent18: 503.5394188
avg return on 5 trajectories of agent19: 488.57433040000006
avg return on 5 trajectories of agent20: 535.9308457999999
avg return on 5 trajectories of agent21: 1407.3451322
avg return on 5 trajectories of agent22: 1294.5225362
avg return on 5 trajectories of agent23: 1216.9996888
avg return on 5 trajectories of agent24: 1027.5203418
avg return on 5 trajectories of agent25: 1282.7765347999998
avg return on 5 trajectories of agent26: 1262.9522714
avg return on 5 trajectories of agent27: 1132.7912244000001
avg return on 5 trajectories of agent28: 743.178514
avg return on 5 trajectories of agent29: 859.9923908000001
avg return on 5 trajectories of agent30: 935.3154658
avg return on 5 trajectories of agent31: 783.2996260000001
avg return on 5 trajectories of agent32: 698.5429652
avg return on 5 trajectories of agent33: 682.6545324000001
avg return on 5 trajectories of agent34: 829.1601046
avg return on 5 trajectories of agent35: 733.6454396000001
avg return on 5 trajectories of agent36: 823.591158
avg return on 5 trajectories of agent37: 692.0507752
avg return on 5 trajectories of agent38: 677.7914241999999
avg return on 5 trajectories of agent39: 593.0330766
avg return on 5 trajectories of agent40: 671.0021622
avg return on 5 trajectories of agent41: 562.800868
avg return on 5 trajectories of agent42: 1324.8242802
avg return on 5 trajectories of agent43: 1371.6843026
avg return on 5 trajectories of agent44: 1338.3606566000003
avg return on 5 trajectories of agent45: 1242.8153136
avg return on 5 trajectories of agent46: 1367.9277773999997
avg return on 5 trajectories of agent47: 1359.3389888
avg return on 5 trajectories of agent48: 1090.388109
avg return on 5 trajectories of agent49: 1278.202041
avg return on 5 trajectories of agent50: 1060.4308798000002
avg return on 5 trajectories of agent51: 1114.2006946
avg return on 5 trajectories of agent52: 1327.4257006000003
avg return on 5 trajectories of agent53: 1172.966625
avg return on 5 trajectories of agent54: 1201.0688109999999
avg return on 5 trajectories of agent55: 1182.9418234
avg return on 5 trajectories of agent56: 1207.4899468
avg return on 5 trajectories of agent57: 1075.5538926000002
avg return on 5 trajectories of agent58: 894.0773850000002
