No devices were found
Environment created
Box(-1.0, 1.0, (8,), float32) Box(-inf, inf, (105,), float64)
Loading Initial saved model
Model loaded
Starting evaluation
5000
---------------------------------
Searching empty space policies
(10, 11472)
(210, 11472)
(210, 11472)
Average distance of agents to nearest neighbors: 0.014884381568617362
avg return on 5 trajectories of agent0: 1122.0573141999998
avg return on 5 trajectories of agent1: 1139.9245406000002
avg return on 5 trajectories of agent2: 1112.9794766
avg return on 5 trajectories of agent3: 1120.9559537999999
avg return on 5 trajectories of agent4: 1109.5639698
avg return on 5 trajectories of agent5: 1116.2548961999998
avg return on 5 trajectories of agent6: 1116.6351782
avg return on 5 trajectories of agent7: 1136.7593697999998
avg return on 5 trajectories of agent8: 1169.922546
avg return on 5 trajectories of agent9: 1179.1276168000002
avg return on 5 trajectories of agent10: 1115.0777596
avg return on 5 trajectories of agent11: 1189.5606917999999
avg return on 5 trajectories of agent12: 1160.2491586
avg return on 5 trajectories of agent13: 1213.50046
avg return on 5 trajectories of agent14: 1216.2936796
avg return on 5 trajectories of agent15: 1213.2506583999998
avg return on 5 trajectories of agent16: 1252.1388986
avg return on 5 trajectories of agent17: 1142.6993179999997
avg return on 5 trajectories of agent18: 1306.4282306
avg return on 5 trajectories of agent19: 1246.2860264
avg return on 5 trajectories of agent20: 1205.9834596
avg return on 5 trajectories of agent21: 1105.94904
avg return on 5 trajectories of agent22: 1125.4133198
avg return on 5 trajectories of agent23: 1093.9038916000002
avg return on 5 trajectories of agent24: 1115.6053864
avg return on 5 trajectories of agent25: 1030.242713
avg return on 5 trajectories of agent26: 1106.9739302
avg return on 5 trajectories of agent27: 1149.0707752
avg return on 5 trajectories of agent28: 1135.8569008
avg return on 5 trajectories of agent29: 1024.707023
avg return on 5 trajectories of agent30: 1143.9865578000001
avg return on 5 trajectories of agent31: 1151.4265970000001
avg return on 5 trajectories of agent32: 1120.7587682
avg return on 5 trajectories of agent33: 1138.2269636
avg return on 5 trajectories of agent34: 1157.6145652
avg return on 5 trajectories of agent35: 1069.0011282
avg return on 5 trajectories of agent36: 1154.6766386
avg return on 5 trajectories of agent37: 1126.3592116
avg return on 5 trajectories of agent38: 1194.9410278
avg return on 5 trajectories of agent39: 1235.7241159999999
avg return on 5 trajectories of agent40: 1228.2236298
avg return on 5 trajectories of agent41: 1248.106047
avg return on 5 trajectories of agent42: 1139.0183654
avg return on 5 trajectories of agent43: 1122.4206356
avg return on 5 trajectories of agent44: 1120.5794964
avg return on 5 trajectories of agent45: 1084.0257067999999
avg return on 5 trajectories of agent46: 1088.8423152
avg return on 5 trajectories of agent47: 1095.7053464
avg return on 5 trajectories of agent48: 1064.7395751999998
avg return on 5 trajectories of agent49: 1061.0906392000002
avg return on 5 trajectories of agent50: 1036.558165
avg return on 5 trajectories of agent51: 1082.2281223999998
avg return on 5 trajectories of agent52: 1040.254725
avg return on 5 trajectories of agent53: 1033.011659
avg return on 5 trajectories of agent54: 1031.2976908
avg return on 5 trajectories of agent55: 1073.6673139999998
avg return on 5 trajectories of agent56: 1040.3375972
avg return on 5 trajectories of agent57: 1106.3709462000002
avg return on 5 trajectories of agent58: 972.5656364
avg return on 5 trajectories of agent59: 1013.4246178
avg return on 5 trajectories of agent60: 1089.5842404
avg return on 5 trajectories of agent61: 1119.5811612000002
avg return on 5 trajectories of agent62: 1015.0673078000002
avg return on 5 trajectories of agent63: 1097.284044
avg return on 5 trajectories of agent64: 1079.1788706
avg return on 5 trajectories of agent65: 1066.5750871999999
avg return on 5 trajectories of agent66: 1131.849936
avg return on 5 trajectories of agent67: 1110.5692192000001
avg return on 5 trajectories of agent68: 1162.2170566
avg return on 5 trajectories of agent69: 1158.2056464000002
avg return on 5 trajectories of agent70: 1153.7750270000001
avg return on 5 trajectories of agent71: 1128.8982464
avg return on 5 trajectories of agent72: 1149.1540712
avg return on 5 trajectories of agent73: 1185.2583422
avg return on 5 trajectories of agent74: 1160.0936394
avg return on 5 trajectories of agent75: 1202.8118022
avg return on 5 trajectories of agent76: 1197.6055548
avg return on 5 trajectories of agent77: 1176.0958204
avg return on 5 trajectories of agent78: 1253.841889
avg return on 5 trajectories of agent79: 1153.9346873999998
avg return on 5 trajectories of agent80: 1191.6434296
avg return on 5 trajectories of agent81: 1124.3986805999998
avg return on 5 trajectories of agent82: 820.0226912
avg return on 5 trajectories of agent83: 952.9444407999999
avg return on 5 trajectories of agent84: 1163.3280098
avg return on 5 trajectories of agent85: 1098.7763706
avg return on 5 trajectories of agent86: 1123.2725316
avg return on 5 trajectories of agent87: 1111.3659916
avg return on 5 trajectories of agent88: 1106.6036556
avg return on 5 trajectories of agent89: 1094.5925316
avg return on 5 trajectories of agent90: 1072.6369137999998
avg return on 5 trajectories of agent91: 1060.9427531999997
avg return on 5 trajectories of agent92: 1104.6177476
avg return on 5 trajectories of agent93: 1118.2500722
avg return on 5 trajectories of agent94: 1125.7786996
avg return on 5 trajectories of agent95: 1068.2782918
avg return on 5 trajectories of agent96: 1102.1735056000002
avg return on 5 trajectories of agent97: 1112.5644820000002
avg return on 5 trajectories of agent98: 1127.4611622
avg return on 5 trajectories of agent99: 1112.1275936
avg return on 5 trajectories of agent100: 1084.8559487999999
avg return on 5 trajectories of agent101: 1111.6843922
avg return on 5 trajectories of agent102: 1102.8724838
avg return on 5 trajectories of agent103: 1085.1875607999998
avg return on 5 trajectories of agent104: 1165.349436
avg return on 5 trajectories of agent105: 1147.165634
avg return on 5 trajectories of agent106: 1127.6211141999997
avg return on 5 trajectories of agent107: 1113.874309
avg return on 5 trajectories of agent108: 1025.4631416
avg return on 5 trajectories of agent109: 1112.665382
avg return on 5 trajectories of agent110: 1115.4829418
avg return on 5 trajectories of agent111: 1010.9243876
avg return on 5 trajectories of agent112: 1081.9459442
avg return on 5 trajectories of agent113: 1028.8424804
avg return on 5 trajectories of agent114: 1045.0608327999998
avg return on 5 trajectories of agent115: 1029.0944786
avg return on 5 trajectories of agent116: 944.1524378
avg return on 5 trajectories of agent117: 914.7146059999999
avg return on 5 trajectories of agent118: 980.6560554
avg return on 5 trajectories of agent119: 944.4832567999999
avg return on 5 trajectories of agent120: 1071.7505424
avg return on 5 trajectories of agent121: 953.8675468000001
